,SINCE_DATE,UNITIL_DATE,SPOTIFY_URL
0,2020-07-01,2020-07-30,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b?si=E2ytsDaHTmG3O7L-H89KzQ
1,2020-07-01,2020-07-30,https://track.adform.net/C/?CC=1&bn=41279147
2,2020-07-01,2020-07-30,https://open.spotify.com/track/1Pb2UnaEuyglJXIIbLZxdY?si=J6K7ISXhR_iHL7-bLiMPRQ
3,2020-07-01,2020-07-30,https://open.spotify.com/playlist/12OpNqGIN4nhi7IfraVC08?si=8VYFLl6lQjCVMARqcTzKUQ
4,2020-07-01,2020-07-30,https://open.spotify.com/track/7KXYD0NGzDgZ3J0fQ72SGZ?si=jYF1IBeCSVWqVCfVNYwqFQ
5,2020-07-01,2020-07-30,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y?si=L7isfa3uRTq14i0icJPt-g
6,2020-07-01,2020-07-30,https://open.spotify.com/show/71mvGXupfKcmO6jlmOJQTP?si=rZIgFyM0Q2Wh7rqbzqAkqA
7,2020-07-01,2020-07-30,https://open.spotify.com/track/2IWhImeG9aRRupVnEJsQgZ?si=WNIh8xV7RPqyh3IugyLOIQ
8,2020-07-01,2020-07-30,https://open.spotify.com/track/733tju3KUeatsbjcTRQ04i?si=hN5d16d2SJii4Y3VgWtaNw
9,2020-07-01,2020-07-30,https://open.spotify.com/track/7EqpEBPOohgk7NnKvBGFWo?si=PtSwVeSESp6tzjt6s5wi2w
10,2020-07-01,2020-07-30,https://open.spotify.com/track/1pkb7eplZ7xGrijYN0FyUh?si=qNy2boYIQvGvNHzslXMJbw
11,2020-07-01,2020-07-30,https://open.spotify.com/track/6vxfDMZkHMj3zyYzQ5erbe?si=GygECGGkSQ6EKA05ksqQOQ
12,2020-07-01,2020-07-30,https://open.spotify.com/episode/3eP6ZN7sjXGnnQROPxi6Mi?si=jekbB2BcSbiNKHMwWkDhuw
13,2020-07-01,2020-07-30,https://open.spotify.com/track/0n6jpmetO3fnMM4H8LO54Y?si=ATxr6mzwSQaQnNV2VBJ9xg
14,2020-07-01,2020-07-30,https://open.spotify.com/track/0KIRPMEkqT9UHZj16j2fo3?si=soTx3s8WQCGIfWlKAb8yLQ
15,2020-07-01,2020-07-30,https://open.spotify.com/track/4KhuEriehSy0E0unLaQQZ8?si=Jk3YtwpIREKZu1OrT-epPw
16,2020-07-01,2020-07-30,https://open.spotify.com/episode/5ltm5uMoBpi1QMWn7qqdja?si=X11Lg61HRK-o9zkU5J2n4w
17,2020-07-01,2020-07-30,https://open.spotify.com/playlist/05kfom1HoOu4ZPuafzJ7MD?si=jNss03ggT5iR-xoMGTAp7A
18,2020-07-01,2020-07-30,https://open.spotify.com/track/1chg0t03u3PDcYwABCYWKG?si=4urVY2yMQwKHmOoTIYdwgQ
19,2020-07-01,2020-07-30,https://open.spotify.com/track/7uNzXLv8NuErb5wAWB2r87?si=_KlAt7aVQyK-TlqsReitUQ
20,2020-07-01,2020-07-30,https://open.spotify.com/track/7JYAnggRowwFbDy4wuunuC?si=YytYOaU4TvmK50qYJ67uqA
21,2020-07-01,2020-07-30,https://open.spotify.com/track/4ESkG5iVSKtUANJK0NPz1w?si=8d0KxVQHQ4WaOWFFOaMt2g
22,2020-07-01,2020-07-30,https://open.spotify.com/playlist/4g6zr87Tj6ZvtwJuMIoOsj?si=qyMaV0fKQqO2Za48MTQbPA
23,2020-07-01,2020-07-30,https://open.spotify.com/track/7EUfNvyCVxQV3oN5ScA2Lb?si=RWo3xghUQ7STsjpO8Lifng
24,2020-07-01,2020-07-30,https://open.spotify.com/track/70Uma1Fj8WS4Qw73M9B1Mi?si=MGDAq3FWQiuP1WHiWs1qwA
25,2020-07-01,2020-07-30,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB?si=iXJUoLJuQ9yB27O6NR_SBQ
26,2020-07-01,2020-07-30,https://open.spotify.com/track/5vPYlbQl2SGoPt88WE3Jh4?si=4MUqzPsQQJSG5MECu-4uCA
27,2020-07-01,2020-07-30,https://open.spotify.com/album/20qAM9zsM877HB7vEEZqdg?si=7WsBbWBMTMuUINb-j_vqJw
28,2020-07-01,2020-07-30,https://open.spotify.com/album/01IFxHiVOY6uf3vUFVXEoI?si=RSNF4br-TEewy0bDZNLJTQ
29,2020-07-01,2020-07-30,https://open.spotify.com/album/5eMwZy5R5qZB3v3lBumnFZ?si=y-YTnPNhQMqcwdE24NTlmQ
30,2020-07-01,2020-07-30,https://open.spotify.com/playlist/7DmkQNUPb0dbfeRTdHRAs6?si=KDzUWQ6ETKy335PjYDC4wQ
31,2020-07-01,2020-07-30,https://open.spotify.com/track/3cFWrR4fqK8mmmoJSxLkts?si=hdla557MSRO3ONe6TR2WpQ
32,2020-07-01,2020-07-30,https://open.spotify.com/track/1F2Ca0Cfo7DcdieWlZEqzc
33,2020-07-01,2020-07-30,https://open.spotify.com/track/3D4J0o9w44QKFrBrYrSVJY?si=Iy6R1ImuQBOlyQLrikSZuw
34,2020-07-01,2020-07-30,https://open.spotify.com/episode/4UJ2fNvXj1Ss26GfcmRYwJ?si=A-0aYDDbTcSptvaAAy72Dw
35,2020-07-01,2020-07-30,https://open.spotify.com/track/4q88IbAn47f7GCQIFhbYkL?si=EtNLscGqSvicuzfjXK07XQ
36,2020-07-01,2020-07-30,https://open.spotify.com/playlist/3SXLzSDmCwNd4PX0dfP1EV?si=ViHhJKfmR2WXW7PNQUHEgA
37,2020-07-01,2020-07-30,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ?si=aNQF3cnSSNmnEWDNd81xKQ
38,2020-07-01,2020-07-30,https://open.spotify.com/track/4FBQuIFz0FP8zb0HTmsmHS?si=Ih7jSwFARPyzbhtTloCH_A
39,2020-07-01,2020-07-30,https://open.spotify.com/playlist/6dVmCdjkxbystaxsSMFGD0?si=3svbLk8ORPWxKmjzuVT_hA
