,SINCE_DATE,UNITIL_DATE,SPOTIFY_URL
43,2020-03-01,2020-03-30,https://open.spotify.com/track/5wMrWkvLD4TnTFwclqgjo6?si=NOOVFZFMSTOq6WL1LiBAfA
44,2020-03-01,2020-03-30,https://open.spotify.com/track/5UMLfB1mZAVFmF0CVHT4ik?si=RLFRCZKGTlSRL0w7RsV7OA
45,2020-03-01,2020-03-30,https://open.spotify.com/track/1HsfrgMJMnpGofrLZi194h?si=4U2Ej_0PTHi4o4k0iwsvNg
46,2020-03-01,2020-03-30,https://open.spotify.com/track/0h8TtBHE3hord5os3lWLV7?si=tbQMEaseQS2SBLg6JlgT6g
47,2020-03-01,2020-03-30,https://open.spotify.com/episode/3LcJC6wbqBLYKLFJHrnIun?si=XiXQPVmqQG-d3azo08VPcw
48,2020-03-01,2020-03-30,https://open.spotify.com/user/2247rfnk6bjrotwfn7v2q232a?si=ZZS0A_u8Qb6sd1pnr-_OPA
49,2020-03-01,2020-03-30,https://open.spotify.com/track/7BuxRSKVtfKDFiDNmW6Z0G?si=Ak7tvxoWTSGTU6eVYoaLyw
50,2020-03-01,2020-03-30,https://open.spotify.com/playlist/4dEhf2FJLiqwVgncPORpX8?si=spDOlrWtRf2QeXYIMQmDfg
51,2020-03-01,2020-03-30,https://open.spotify.com/track/6mLVtOXSp8zzUVbQGLetBA?si=72v_Pe3gQcaYy_j6DcX0Tw
52,2020-03-01,2020-03-30,https://open.spotify.com/track/2oaK4JLVnmRGIO9ytBE1bt?si=fCbWT4RURzO8ydCCWk--KQ
53,2020-03-01,2020-03-30,https://open.spotify.com/track/3egEUMxYw0eksjPxVdu4Qe?si=WC8G4WhtSw2fik5m_4eQBA
54,2020-03-01,2020-03-30,https://open.spotify.com/track/1frLUl7UjAs0eLL2FzJgmA?si=k1HX3vMOQpyYcO8VbZyC0g
55,2020-03-01,2020-03-30,https://open.spotify.com/track/0HwXdQc038TE28jP4HB8R3?si=ZcTvtWxfSSOa2yCNosKbHA
56,2020-03-01,2020-03-30,https://open.spotify.com/track/6145iigwxyby71kub3qexg?si=tdWUpxykSQ6LnpcXq0vJjg
57,2020-03-01,2020-03-30,https://open.spotify.com/track/40rvBMQizxkIqnjPdEWY1v?si=tn8-A9QRTo-yKeCgQI1B8A
58,2020-03-01,2020-03-30,https://open.spotify.com/track/5Zq0piVXBhN4lfJgYWtKaW?si=lBBJ2ZhvTlK2REUBRpCv4Q
59,2020-03-01,2020-03-30,https://open.spotify.com/track/1kKUrg3jr6wDuLN8GNORiR?si=K9trsQYAS8Cy_nmrbp_5Rg
60,2020-03-01,2020-03-30,https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z?si=KHV3jNz5RW2tWAfGDESebg
61,2020-03-01,2020-03-30,https://open.spotify.com/track/7IijX5DkLaf3G4qF6xDLYa?si=uwvtpgYrQGC4xfuV6-jDRQ
62,2020-03-01,2020-03-30,https://open.spotify.com/album/3KQ5HzQZjFbylEaGdyKKFX?si=zJS_Bh0_TfyXNkLh5DAmfA
63,2020-03-01,2020-03-30,https://open.spotify.com/track/1k691v8ChLgDiuLLKnjyj6?si=D6X0g3YoTOubPKQj3qemFQ
64,2020-03-01,2020-03-30,https://open.spotify.com/track/5Ig3Sqgc8bNShJXAqKls0E?si=M17NJGm4QIqsNpKRQ0dcRQ
65,2020-03-01,2020-03-30,https://open.spotify.com/track/6b2oQwSGFkzsMtQruIWm2p?si=FJUhTBM1Swe7nfqpRg9cNQ
66,2020-03-01,2020-03-30,https://open.spotify.com/track/5wdD6pxEXmMBKW4osrMzh4?si=K-DhwBaGSwKzoOAFWggagw
67,2020-03-01,2020-03-30,https://open.spotify.com/track/1EIvjDvoKjwhokJsigvleb?si=fOafhIu9TVmTLzz5ddL02g
68,2020-03-01,2020-03-30,https://open.spotify.com/playlist/3ekqjtcpZmUprKixYzWnfA?si=B4yfdop7TM62cQtkfvJbKA
