SINCE_DATE,UNITIL_DATE,SPOTIFY_URL,TYPE_URL
JUNE,JUNE,https://open.spotify.com/track/2I5tTeFL69KZCiO0YYoql7?si=jGzHESvbTJiumfd2Qa13Eg,track
JUNE,JUNE,https://track.adform.net/C/?bn=41279147%0A,other
JUNE,JUNE,https://open.spotify.com/episode/5JfEbQs5zvRHPlyrqChYpp?si=vACBPCfITX-vHHT0cZBQsw,other
JUNE,JUNE,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b?si=B4nbJTouS6-t7IicIWhC7g,track
JUNE,JUNE,https://open.spotify.com/track/1RMJOxR6GRPsBHL8qeC2ux?si=T7g1Yo0lSBG_ZOrhYM36DA,track
JUNE,JUNE,https://open.spotify.com/album/0jBRjzNadUDNszY6o7stiz?si=d-5LFYAIQ5m5gWaY14QdnA,album
JUNE,JUNE,https://open.spotify.com/track/4u5kgV4M57gj46R0NXV8Wl?si=wMawi-pCSFqyM7yWXsmoQQ,track
JUNE,JUNE,https://open.spotify.com/track/43S4PWrJIBdLXLjHh7NxGJ?si=WVVWhSm3RXKL84jEgkO66g,track
JUNE,JUNE,https://open.spotify.com/track/6z8W73OeBhTKpm8HG12RF1?si=aPclYirwS92D4_DUGwnEQA,track
JUNE,JUNE,https://open.spotify.com/album/19Au2wrHJoeIhEVsz9Op8T?si=PJAfp0jUSJGgL8hA8Cictg,album
JUNE,JUNE,https://open.spotify.com/track/5PKWUDfQFtc5qqo8cs1gQp?si=Kb6aroTuRF2UR2rvsdPS6A,track
JUNE,JUNE,https://open.spotify.com/track/4pulHxja8nTUiojRtfwgTv?si=4i6zLsMiRz6I6eUpP6_fGg,track
JUNE,JUNE,https://open.spotify.com/track/6TDPTk5c9r1aAaLEILqNmA?si=VIY99h7dSgeT0Jv4b89fkQ,track
JUNE,JUNE,https://open.spotify.com/track/0YyZBGbZYAuEFu473MiyjQ?si=OtIN9YPUQaaardUs9KfeCw,track
JUNE,JUNE,https://open.spotify.com/artist/2d9LRvQJnAXRijqIJDDs2K?si=ZELaa0WoQvKE1hpgKQWJsQ,artist
JUNE,JUNE,https://open.spotify.com/track/2S86JMOSLu89OhGwwocdo7?si=14UN-MqrSrCiEXS2CDMgXA,track
JUNE,JUNE,https://open.spotify.com/track/7xb1bY3h1FfvaLAvwJzz3F?si=8P5P1phER4e1xw2agjDEDQ,track
JUNE,JUNE,https://open.spotify.com/track/3aYb8zOcDupClEJVBTs82s?si=8L2X9rNmRMql9rsb6vcYZQ,track
JUNE,JUNE,https://open.spotify.com/track/4PbZ1dClx4HnT67mPcbyXz,track
JUNE,JUNE,https://open.spotify.com/playlist/0N347AkzPz5ovMInOUMlY0?si=ocRSEIdOTXutfPuN3iQtWA,playlist
JUNE,JUNE,https://open.spotify.com/track/2fYcpbTFptY9uRcaY56NRu?si=Va4a8H6KQM2yszXXbJaJZQ,track
JUNE,JUNE,https://open.spotify.com/track/6CxCpB7dByi0P1Ap286AUS?si=zLxZxnSCThWg4Tqlg3nQNw,track
JUNE,JUNE,https://open.spotify.com/episode/15LbEGhuwrbISn9N1xBJFM?si=IPgKsisdS96EPo7PiCtHBw,other
JUNE,JUNE,https://open.spotify.com/track/2Kk7b7iKXhFETUvKD4LaHS?si=QNerjG2MT5-jHeA_66bFnw,track
JUNE,JUNE,https://open.spotify.com/track/3Vc8vnid3noqupe9PvUKxP?si=kYaSEgwhRxm4sIlgcyZVzg,track
JUNE,JUNE,https://open.spotify.com/track/229FadovvwF56w3UzBDyd4?si=lJ2QHjlKQyWz52WTEWNLNw,track
JUNE,JUNE,https://open.spotify.com/track/24bOiXGnWfwged0gg0LemU?si=HUbvuSNNQH2UwX2Rvwx6Nw,track
JUNE,JUNE,https://open.spotify.com/track/1V6e5kTtZ2lBemNTAhVmge?si=Ghb1ktlZQAu2KsVJK7Gkrw,track
JUNE,JUNE,https://open.spotify.com/track/1PehfITh0TTRx3LkDdV4h3?si=HO_Gs_DYR5aVOnDKF641GA,track
JUNE,JUNE,https://open.spotify.com/artist/4Y5qgDXn00DKoDAY0CnABH?si=ojTbpMmHRO6S7D1ADjn8Tg,artist
JUNE,JUNE,https://open.spotify.com/track/627NaoKHBApkkNQ5YcWsO0?si=RzSkeyMARjyCnuHg5IHRAw,track
JUNE,JUNE,https://open.spotify.com/track/2bsZI5sZIDtjIfNkSKPiEc?si=IIHgDMctQFuNgGZBGUfHaA,track
JUNE,JUNE,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9?si=4GdkrZ9NTTyaj3Pltns0Hw,track
JUNE,JUNE,https://open.spotify.com/track/7KmNwcK7cz3lEyabZ21wBM?si=saJHdLq1QLqZ-RIP1pOh4w,track
JUNE,JUNE,https://open.spotify.com/track/5FYlubj1nGOUYmJ57ezUXu?si=Xl6I2lnzQ2WorPvSJdUyzQ,track
