SINCE_DATE,UNITIL_DATE,SPOTIFY_URL,TYPE_URL
MARCH,MARCH,https://open.spotify.com/album/6mJZTV8lCqnwftYZa94bXS?si=tGgULdyiSEqGIygkGYYgrw,album
MARCH,MARCH,https://open.spotify.com/track/7jYZU1CIruZU3puB5tiYiW?si=aAAeEa6pSQSmYkXWiyFCaw,track
MARCH,MARCH,https://open.spotify.com/track/0u0miVOdudrNfbjtAB3fK7?si=3yMRKuxKRtWaKesqr5A8fw,track
MARCH,MARCH,https://open.spotify.com/track/7bHT9osSq1rwT2yaImzqCi?si=H5wtDF6oSl6EEwaJxDh3CQ,track
MARCH,MARCH,https://open.spotify.com/track/3Jvh0CdDU9AvOlAvNtRytC?si=XbeSbZtJR0CJE8qUi4dKjQ,track
MARCH,MARCH,https://open.spotify.com/track/3s0xToSIHU7jsKNNizIqyG?si=7aBztc4ST7iElouBfkJBPw,track
MARCH,MARCH,https://open.spotify.com/episode/3lTCeYW1mBaYII36ZVRLKc?si=STNZpOznTfmluA9e7k5ySw,other
MARCH,MARCH,https://open.spotify.com/track/4C5MtiTgwxKKNXEpMhVPHv?si=r-L_VXWIRBCmnzMC65_dVQ,track
MARCH,MARCH,https://open.spotify.com/track/3UAvQZ4pM9mXKfZBv8Go1g?si=-j9KM3QoSGi0JJCjvr7Thg,track
MARCH,MARCH,https://open.spotify.com/album/19J2iqK89BCrNG4El2FRi5?si=JCSscUD6Rly9K1fuBng1Yg,album
MARCH,MARCH,https://open.spotify.com/track/6nO7fKeDO4ceurYDgbXlZ5?si=oXCIZgq3TpiHjKl_tr7qJA,track
MARCH,MARCH,https://open.spotify.com/track/7CvIZIUj1wwT2Kdq1Mnyxv?si=HGhj5eH2QRaM1-KaPDYWCg,track
MARCH,MARCH,https://open.spotify.com/playlist/58hsoq83MHEzPuPDlQV5PB?si=qlq_WR9oQmOYB-8rvUbLSA,playlist
MARCH,MARCH,https://open.spotify.com/track/4KOkosy3gZdlSYBLOBSdJJ?si=HAxy_QeLRbG4xW-d321MrQ,track
MARCH,MARCH,https://open.spotify.com/track/3sqmHaUVKizwwoKsHMVc1U?si=coXGVGOxTl6dke1b0Gpa0w,track
